Title,URL,Visit Time,Start Time
"gmail mail - Google Search","https://www.google.com/search?q=gmail+mail&rlz=1C1CHBF_enIN1134&oq=gmail&gs_lcrp=EgZjaHJvbWUqCggFEAAYsQMYgAQyDAgAEEUYORixAxiABDIKCAEQABixAxiABDIKCAIQABixAxiABDIKCAMQABixAxiABDIKCAQQABixAxiABDIKCAUQABixAxiABDIKCAYQABixAxiABDIKCAcQABixAxiABNIBCDc4NzdqMGo3qAIIsAIB&sourceid=chrome&ie=UTF-8","2024-11-03 20:53:48","20:53:48"
"gmail mail - Google Search","https://www.google.com/search?q=gmail+mail&rlz=1C1CHBF_enIN1134&oq=gmail&gs_lcrp=EgZjaHJvbWUqCggFEAAYsQMYgAQyDAgAEEUYORixAxiABDIKCAEQABixAxiABDIKCAIQABixAxiABDIKCAMQABixAxiABDIKCAQQABixAxiABDIKCAUQABixAxiABDIKCAYQABixAxiABDIKCAcQABixAxiABNIBCDc4NzdqMGo3qAIIsAIB&sourceid=chrome&ie=UTF-8","2024-11-03 20:53:48","20:53:48"
"Inbox (149) - contacts.veereshn@gmail.com - Gmail","https://mail.google.com/mail/","2024-11-03 20:53:53","20:53:53"
"Inbox (149) - contacts.veereshn@gmail.com - Gmail","https://mail.google.com/mail/u/0/","2024-11-03 20:53:53","20:53:53"
"Gmail","https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1","2024-11-03 20:53:53","20:53:53"
"Gmail: Private and secure email at no cost | Google Workspace","https://www.google.com/intl/en-US/gmail/about/","2024-11-03 20:53:53","20:53:53"
"Gmail","https://accounts.google.com/AccountChooser/signinchooser?service=mail&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&flowName=GlifWebSignIn&flowEntry=AccountChooser&ec=asw-gmail-globalnav-signin","2024-11-03 20:53:55","20:53:55"
"Gmail","https://accounts.google.com/AccountChooser?service=mail&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&flowName=GlifWebSignIn&flowEntry=AccountChooser&ec=asw-gmail-globalnav-signin","2024-11-03 20:53:55","20:53:55"
"Inbox (142) - contacts.veereshn@gmail.com - Gmail","https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&service=mail&sacu=1&rip=1","2024-11-03 20:53:55","20:53:55"
"Gmail","https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/&rip=1&sacu=1&service=mail&ifkv=AcMMx-fgUOhJbKkLi-lm4_qPnWPlicTCIN6H5tVhC2EkhPigSPhMHN9DgR5WgIR1zuvPhv3E7DdWQw","2024-11-03 20:53:55","20:53:55"
"Gmail","https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&ifkv=AcMMx-dnZcTrvp1a9KH_szO74cqTvDEcTFKuFAboCjX5o602QBZm3QvYZQ5fjIzpmpmpgiqHkJtEUw&rip=1&sacu=1&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S-566982425%3A1730647432629144&ddm=1","2024-11-03 20:53:55","20:53:55"
